datetime,top_10,percent_change_values
2011-11-14,"['SAIL.NS', 'RLIN.NS', 'STTE.NS', 'HALC.NS', 'RPOL.NS', 'BRTI.NS', 'VDAN.NS', 'IDFC.NS', 'JAIA.NS', 'LART.NS']","[-0.1036121673003802, -0.0931232091690544, -0.0613333356313086, -0.0388500388500387, -0.1069492360768852, -0.0028847178312658, -0.1132850241545893, -0.0635788877220031, -0.1793012524719841, -0.0644918182061651]"
2011-11-21,"['SAIL.NS', 'RLIN.NS', 'STTE.NS', 'HALC.NS', 'RPOL.NS', 'BPCL.NS', 'VDAN.NS', 'IDFC.NS', 'JAIA.NS', 'LART.NS']","[-0.1293743372216331, -0.0373070847004495, -0.0298295573915723, -0.0824575586095391, -0.0596026490066223, -0.0064176981881193, -0.06564968673386, -0.0422662073214714, -0.0248995983935742, 0.0171540870957602]"
2011-11-28,"['SAIL.NS', 'RLIN.NS', 'STTE.NS', 'HALC.NS', 'RPOL.NS', 'TISC.NS', 'VDAN.NS', 'IDFC.NS', 'JAIA.NS', 'LART.NS']","[0.0615103532277712, 0.043675839434486, 0.0409956002598324, 0.1929515418502203, 0.0580985915492957, 0.1063885583414977, 0.1093294460641398, 0.0840374762716857, 0.1087314662273475, 0.0350329651892178]"
2011-12-05,"['SAIL.NS', 'RLIN.NS', 'STTE.NS', 'HALC.NS', 'RPOL.NS', 'ACC.NS', 'VDAN.NS', 'IDFC.NS', 'JAIA.NS', 'LART.NS']","[-0.0476190476190476, -0.0616835994194484, -0.0478199336633037, -0.0240029542097488, -0.0632279534109817, -0.0381818181818182, -0.0822601839684625, -0.0502381730095303, -0.0586924219910846, -0.0636876972945905]"
2011-12-12,"['SAIL.NS', 'RLIN.NS', 'STTE.NS', 'HALC.NS', 'RPOL.NS', 'JNSP.NS', 'VDAN.NS', 'IDFC.NS', 'JAIA.NS', 'LART.NS']","[-0.0993975903614458, -0.0989945862335652, -0.109305826659916, -0.0472947408248203, -0.1166370633510954, -0.0337383177570092, -0.0718785796105382, -0.0474235976103807, -0.0670876085240725, -0.1256877029551183]"
2011-12-19,"['SAIL.NS', 'RLIN.NS', 'STTE.NS', 'HALC.NS', 'RPOL.NS', 'JNSP.NS', 'VDAN.NS', 'IDFC.NS', 'TISC.NS', 'LART.NS']","[0.0709030100334446, 0.0300429184549355, -0.0033166549007279, -0.0329626687847498, -0.0355227882037532, -0.0592900667375956, -0.002159827213823, -0.0550503217870127, -0.0458791355372806, -0.0594788929873767]"
2011-12-26,"['SAIL.NS', 'RLIN.NS', 'STTE.NS', 'HALC.NS', 'RPOL.NS', 'JNSP.NS', 'VDAN.NS', 'IDFC.NS', 'TISC.NS', 'LART.NS']","[0.0181136789506559, -0.0533333333333333, -0.0565724134336914, -0.0484599589322382, -0.0138985406532313, -0.068167797655768, 0.010513296227582, -0.0714284840868816, -0.0344082773342986, -0.0140753735306964]"
2012-01-02,"['SAIL.NS', 'RLIN.NS', 'STTE.NS', 'HALC.NS', 'RPOL.NS', 'JNSP.NS', 'VDAN.NS', 'IDFC.NS', 'TISC.NS', 'LART.NS']","[0.0343558282208589, 0.1056338028169014, 0.1569664499381731, 0.0176952956409151, 0.0380549682875264, 0.0301224760013241, 0.0140758873929007, 0.0681941244556181, 0.0817056684045631, 0.0885235717673116]"
2012-01-09,"['SAIL.NS', 'RLIN.NS', 'STTE.NS', 'HALC.NS', 'RPOL.NS', 'JNSP.NS', 'VDAN.NS', 'IDFC.NS', 'TISC.NS', 'LART.NS']","[0.0948991696322656, 0.0902335456475584, 0.094512185186552, 0.1314673452078032, 0.2138492871690427, 0.0781919451585262, 0.1252263126131563, 0.1077630449485211, 0.1459683086197081, 0.082940792106384]"
2012-01-16,"['SAIL.NS', 'RLIN.NS', 'STTE.NS', 'HALC.NS', 'RPOL.NS', 'JNSP.NS', 'VDAN.NS', 'IDFC.NS', 'TISC.NS', 'LART.NS']","[-0.0075839653304442, 0.1691820837390458, -0.0069637798143412, 0.0764617691154421, 0.0246085011185681, 0.0615934830121198, 0.0163582729954412, 0.1115722216004044, 0.050156413425566, 0.086908296799059]"
2012-01-23,"['SAIL.NS', 'RLIN.NS', 'STTE.NS', 'HALC.NS', 'RPOL.NS', 'JNSP.NS', 'VDAN.NS', 'IDFC.NS', 'TISC.NS', 'ABUJ.NS']","[0.1484716157205241, 0.1032687903393712, 0.053295943974114, 0.0059192200557103, 0.0616812227074237, -0.0093580385551188, 0.133245382585752, 0.090004155546191, 0.0508532533288694, 0.0182389937106918]"
2012-01-30,"['SAIL.NS', 'ACC.NS', 'STTE.NS', 'HALC.NS', 'RPOL.NS', 'JNSP.NS', 'VDAN.NS', 'HLL.NS', 'TISC.NS', 'ABUJ.NS']","[-0.0019011406844107, 0.0738496737564614, 0.0332889399595839, 0.0567670474212531, 0.0323907455012855, 0.0501605894577745, 0.0740395809080325, 0.0345361266361225, 0.0190735832316606, 0.0654725138974674]"
2012-02-06,"['SAIL.NS', 'ACC.NS', 'STTE.NS', 'HALC.NS', 'SUN.NS', 'ITC.NS', 'HROM.NS', 'HLL.NS', 'TISC.NS', 'ABUJ.NS']","[0.0780952380952382, 0.0629315446833695, -0.0335051262384425, 0.0016377333770061, -0.0348484848484847, 0.0089109312592602, 0.0048445178966616, -0.0348779554278524, 0.0161497214602677, -0.0037681159420289]"
2012-02-13,"['SAIL.NS', 'ACC.NS', 'STTE.NS', 'HALC.NS', 'SUN.NS', 'ITC.NS', 'HROM.NS', 'BAJA.NS', 'GRAS.NS', 'ABUJ.NS']","[-0.0145759717314488, 0.0144394951744617, 0.0813333104419644, -0.012753433616743, 0.0012004801920768, 0.0080960971892094, 0.070464386702854, 0.0393421848449065, 0.0126847454020599, 0.0072737852778586]"
2012-02-20,"['SAIL.NS', 'ACC.NS', 'STTE.NS', 'HALC.NS', 'SUN.NS', 'ITC.NS', 'HROM.NS', 'BAJA.NS', 'GRAS.NS', 'ABUJ.NS']","[-0.0564769161810847, -0.0721943722785319, 0.1196054550690279, -0.0192116594898971, 0.010514665190924, 0.0192261394829402, -0.0172802849019417, -0.0229722614792029, -0.0542033969953532, -0.0736568457538995]"
2012-02-27,"['SAIL.NS', 'ACC.NS', 'HDBK.NS', 'HALC.NS', 'SUN.NS', 'ITC.NS', 'HROM.NS', 'BAJA.NS', 'GRAS.NS', 'ABUJ.NS']","[-0.0356294536817102, 0.0439738129042435, -0.0144239129405157, -0.0016886187098953, 0.0395217232566631, -0.0210123658940905, -0.0606637538238372, -0.0144931646718475, -0.0050880140536487, 0.0402245088868102]"
2012-03-05,"['SAIL.NS', 'ACC.NS', 'TISC.NS', 'HALC.NS', 'SUN.NS', 'ITC.NS', 'HROM.NS', 'BAJA.NS', 'GRAS.NS', 'ABUJ.NS']","[-0.0660098522167488, -0.0036266102527293, -0.0210753543653759, -0.0893098782138025, 0.0012292562999383, 0.0158535438748714, -0.0185399030483419, 0.0089216335223185, 0.0021231480557404, -0.0221822541966427]"
2012-03-12,"['SAIL.NS', 'ACC.NS', 'TISC.NS', 'HALC.NS', 'SUN.NS', 'ITC.NS', 'HROM.NS', 'GAIL.NS', 'GRAS.NS', 'ABUJ.NS']","[0.010548523206751, 0.0160379146919431, -0.001318091212453, 0.0464338781575037, -0.0427957555029377, 0.0379352739818372, 0.0240443553190203, 0.0326760416107983, 0.0167652550519725, 0.0337216431637032]"
2012-03-19,"['SAIL.NS', 'ACC.NS', 'TISC.NS', 'HALC.NS', 'SUN.NS', 'ITC.NS', 'HROM.NS', 'MRTI.NS', 'STTE.NS', 'ABUJ.NS']","[-0.0125260960334029, 0.0239943279349204, -0.0134184128739476, -0.0670926517571883, 0.0634906092533211, 0.0291463454022802, 0.0308891324402336, -0.0515063520871143, -0.0181598728599442, 0.0266903914590748]"
2012-03-26,"['SAIL.NS', 'ACC.NS', 'TISC.NS', 'HALC.NS', 'SUN.NS', 'ITC.NS', 'HROM.NS', 'JNSP.NS', 'STTE.NS', 'ABUJ.NS']","[-0.0036997885835095, -0.0091833387996063, 0.0518394937453421, -0.015220700152207, -0.0180048242591315, 0.0200045520402172, 0.0187364922479513, 0.0095370370370369, -0.0283600509847609, -0.0051993067590988]"
2012-04-02,"['SAIL.NS', 'ACC.NS', 'TISC.NS', 'HALC.NS', 'SUN.NS', 'ITC.NS', 'HROM.NS', 'JNSP.NS', 'STTE.NS', 'ABUJ.NS']","[0.0392572944297082, -0.0108499760932729, 0.0080550783142867, 0.0285935085007726, -0.0102640582507237, 0.002203623802321, -0.0210679682384957, -0.0375126112079242, 0.0304568971478265, -0.0243902439024389]"
2012-04-09,"['SAIL.NS', 'ACC.NS', 'TISC.NS', 'HALC.NS', 'SUN.NS', 'ITC.NS', 'HROM.NS', 'JNSP.NS', 'STTE.NS', 'VDAN.NS']","[-0.0449208779989791, -0.0639176024392058, -0.0541478063433208, -0.0619834710743801, 0.0377592625421023, 0.0389182129807155, 0.0221674969616281, -0.0517438536306461, -0.0603448605745512, -0.0327272727272727]"
2012-04-16,"['SAIL.NS', 'GAIL.NS', 'TISC.NS', 'HALC.NS', 'SUN.NS', 'ITC.NS', 'TTPW.NS', 'JNSP.NS', 'STTE.NS', 'VDAN.NS']","[0.0395510422234099, 0.0107843835886982, 0.0455757632701605, 0.001201441730076, 0.0058079945336522, 0.0378835421810879, 0.0174334071906896, 0.0179881418952869, 0.027522979716861, 0.0198711063372718]"
2012-04-23,"['SAIL.NS', 'BHEL.NS', 'TISC.NS', 'HALC.NS', 'SUN.NS', 'ITC.NS', 'LART.NS', 'JNSP.NS', 'STTE.NS', 'VDAN.NS']","[-0.0179948586118251, -0.0632651986672659, -0.0149903780930432, -0.0412, 0.0157948369565219, 0.006933085254505, -0.0497352378991284, -0.0391905231984205, -0.0829082467779922, -0.0239599789362823]"
2012-04-30,"['SAIL.NS', 'BHEL.NS', 'TISC.NS', 'HALC.NS', 'HROM.NS', 'ITC.NS', 'GAIL.NS', 'JNSP.NS', 'STTE.NS', 'VDAN.NS']","[-0.0183246073298429, -0.067320291597233, -0.0663788775136527, -0.0329578639966624, -0.0944454677176878, -0.0354394567009299, -0.0286016972066034, -0.0027740676050549, -0.0611960532419724, -0.0256271917992986]"
2012-05-07,"['SAIL.NS', 'BHEL.NS', 'TISC.NS', 'HALC.NS', 'SUN.NS', 'ITC.NS', 'GAIL.NS', 'JNSP.NS', 'STTE.NS', 'VDAN.NS']","[-0.0474666666666666, 0.0329362136963211, -0.0473987950542075, -0.0237273511647971, -0.0425817267393126, -0.0163761806292679, -0.0070104177672183, -0.0571811250772718, -0.0740740918053648, -0.0094130675526024]"
2012-05-14,"['SAIL.NS', 'BHEL.NS', 'TISC.NS', 'HALC.NS', 'SUN.NS', 'ITC.NS', 'GAIL.NS', 'JNSP.NS', 'STTE.NS', 'VDAN.NS']","[0.0072788353863382, -0.0920397798996973, -0.0292475746609576, -0.0459566946531153, 0.0186482227280686, 0.0226253725138023, -0.0028239709700803, 0.0302699158561905, -0.0703999370637586, 0.0838457238680827]"
2012-05-21,"['SAIL.NS', 'BHEL.NS', 'TISC.NS', 'HALC.NS', 'SUN.NS', 'ITC.NS', 'GAIL.NS', 'JNSP.NS', 'STTE.NS', 'VDAN.NS']","[0.0300166759310729, 0.0373598817634461, 0.0216277039873586, 0.0365910143584993, -0.0209712075633864, -0.0321436214851637, 0.0608873366625535, -0.0313958421722527, 0.0154904535164244, -0.0644662197008767]"
2012-05-28,"['SAIL.NS', 'BHEL.NS', 'TISC.NS', 'HALC.NS', 'SUN.NS', 'ITC.NS', 'TTPW.NS', 'JNSP.NS', 'STTE.NS', 'VDAN.NS']","[-0.0134916351861845, -0.0067226618378575, -0.0261870087941283, 0.0415549597855227, -0.0008778860503906, 0.0086263062278488, 0.0431373063531077, -0.0582566798072712, -0.0491524654640468, 0.000826901874311]"
2012-06-04,"['SAIL.NS', 'BHEL.NS', 'TISC.NS', 'HALC.NS', 'PNBK.NS', 'GAIL.NS', 'TTPW.NS', 'JNSP.NS', 'STTE.NS', 'VDAN.NS']","[0.0393873085339167, 0.0693739314273007, 0.0314149220292532, 0.033033033033033, 0.0861111805555556, 0.0221743038254123, 0.0128893607733215, 0.0225581395348837, 0.1087343232362387, 0.0380060589369317]"
2012-06-11,"['SAIL.NS', 'BHEL.NS', 'TISC.NS', 'HALC.NS', 'PNBK.NS', 'GAIL.NS', 'ITC.NS', 'JNSP.NS', 'STTE.NS', 'VDAN.NS']","[-0.0257894736842105, -0.0122062100240365, 0.0101120208646783, 0.0282392026578073, 0.0129795388120499, 0.0061765401579398, 0.0428931904511267, -0.0053445531043893, -0.0160771506285213, -0.0175112762005835]"
2012-06-18,"['SAIL.NS', 'BHEL.NS', 'TISC.NS', 'HALC.NS', 'PNBK.NS', 'GAIL.NS', 'ITC.NS', 'JNSP.NS', 'STTE.NS', 'ABUJ.NS']","[-0.0275526742301458, 0.0105263569793871, 0.0097697558931422, -0.0525040387722132, -0.0153380663171075, 0.0199131674005992, 0.010080690812346, -0.0077740939750772, 0.0049019627753672, -0.0182192183367616]"
2012-06-25,"['SAIL.NS', 'BHEL.NS', 'TISC.NS', 'HALC.NS', 'TTPW.NS', 'GAIL.NS', 'ITC.NS', 'JNSP.NS', 'STTE.NS', 'ABUJ.NS']","[0.0066666666666665, 0.0527626787133999, 0.0545867612619377, 0.0221653878942882, 0.107936521338933, 0.033763930116768, 0.0335329027139104, 0.0838806314091487, 0.0243902537608191, 0.0419036216701587]"
2012-07-02,"['SAIL.NS', 'BHEL.NS', 'TISC.NS', 'HALC.NS', 'VDAN.NS', 'GAIL.NS', 'ITC.NS', 'JNSP.NS', 'STTE.NS', 'ABUJ.NS']","[0.0397350993377485, 0.0163476369187349, 0.0154036883412278, 0.0346121768140115, 0.022686259345192, 0.0130644643842252, -0.0237543645982107, -0.0313596258105666, 0.1222222178381118, -0.0066072967538064]"
2012-07-09,"['SAIL.NS', 'BHEL.NS', 'TISC.NS', 'HALC.NS', 'VDAN.NS', 'PNBK.NS', 'ITC.NS', 'JNSP.NS', 'STTE.NS', 'ABUJ.NS']","[-0.0143312101910828, -0.0198942121172256, -0.0518683341885092, -0.0294236195082627, -0.0373077892614066, 0.0131609968052285, 0.0031651973366515, -0.0537752414398595, 0.0, -0.0283400809716599]"
2012-07-16,"['SAIL.NS', 'BHEL.NS', 'TISC.NS', 'HALC.NS', 'BOB.NS', 'PNBK.NS', 'ITC.NS', 'JNSP.NS', 'STTE.NS', 'ABUJ.NS']","[0.0048465266558965, -0.0148995826432558, -0.0212940767480627, 0.0149501661129567, -0.0332500347077606, -0.0279376000949048, -0.0027608091637578, -0.0104384133611691, -0.0537482065038688, 0.0056547619047617]"
2012-07-23,"['SAIL.NS', 'BHEL.NS', 'TISC.NS', 'HALC.NS', 'BOB.NS', 'VDAN.NS', 'ITC.NS', 'JNSP.NS', 'STTE.NS', 'ABUJ.NS']","[-0.1087888531618433, -0.0889960552846731, -0.040389546335979, -0.0384615384615384, -0.0668485675306957, -0.0371052631578947, 0.0083053569969793, -0.0744256915142991, -0.0418535034857544, 0.0769458419650783]"
2012-07-30,"['SAIL.NS', 'BHEL.NS', 'TISC.NS', 'HALC.NS', 'BOB.NS', 'PNBK.NS', 'ITC.NS', 'JNSP.NS', 'STTE.NS', 'ABUJ.NS']","[0.0180396873120864, 0.0834937278663483, -0.0053863846141239, -0.0068085106382977, 0.0007694675284701, 0.0284722222222221, 0.017258303975693, 0.0037989109788527, 0.0156005262585177, 0.0035724100027481]"
2012-08-06,"['SAIL.NS', 'BHEL.NS', 'TISC.NS', 'HALC.NS', 'BOB.NS', 'PNBK.NS', 'ITC.NS', 'JNSP.NS', 'STTE.NS', 'ABUJ.NS']","[0.0029533372711163, 0.0175438292600396, 0.0078085180136902, 0.0535561268209083, -0.0355989543287712, -0.0259284267386901, 0.0323886334051066, 0.0346915604894664, -0.0215053352858181, 0.0638006571741511]"
2012-08-13,"['SAIL.NS', 'BHEL.NS', 'TCS.NS', 'GRAS.NS', 'BOB.NS', 'PNBK.NS', 'ITC.NS', 'JNSP.NS', 'STTE.NS', 'ABUJ.NS']","[-0.0206124852767962, 0.0015277601362897, -0.0003909202253473, 0.008998320977675, 0.0152276488878257, 0.0083876334396228, -0.0211017841093464, -0.0210924164837845, -0.0345368800401161, -0.0272844272844273]"
2012-08-20,"['TAMO.NS', 'BHEL.NS', 'TCS.NS', 'GRAS.NS', 'SUN.NS', 'PNBK.NS', 'ITC.NS', 'HCLT.NS', 'STTE.NS', 'ABUJ.NS']","[0.0205308768464315, 0.0069731498494378, 0.0346082425017277, 0.0031105858690019, 0.0054380664652568, -0.0222726335326872, 0.0116367455561305, 0.0041434282954328, 0.0130081218659841, 0.0060862662079914]"
2012-08-27,"['TAMO.NS', 'HLL.NS', 'TCS.NS', 'GRAS.NS', 'SUN.NS', 'HALC.NS', 'ITC.NS', 'HCLT.NS', 'JAIA.NS', 'ABUJ.NS']","[-0.0477544938835927, -0.0094229312584469, 0.0157991386519886, -0.0137067571047146, 0.0042067307692306, -0.0677737881508079, 0.009428668211276, -0.0233226649260318, -0.1410512308715902, -0.0252498684902682]"
2012-09-03,"['TAMO.NS', 'JNSP.NS', 'TCS.NS', 'GRAS.NS', 'TISC.NS', 'HALC.NS', 'ITC.NS', 'HCLT.NS', 'STTE.NS', 'ABUJ.NS']","[0.0486555628780169, 0.0001420454545454, 0.0318139690701693, -0.006237915656026, 0.026637263621386, 0.0288878189696677, -0.0160657165349267, 0.0548310375374492, -0.0121107888471436, 0.0267134376686453]"
2012-09-10,"['TAMO.NS', 'JNSP.NS', 'TCS.NS', 'SAIL.NS', 'TISC.NS', 'HALC.NS', 'ITC.NS', 'HCLT.NS', 'STTE.NS', 'ABUJ.NS']","[0.100122101729392, 0.0600766936514698, 0.0191850243203175, 0.0716096324461342, 0.0833222441512671, 0.1076275152082357, 0.0186063851576303, 0.0149760407901617, 0.0718039152553455, 0.0373193166885676]"
2012-09-17,"['TAMO.NS', 'JNSP.NS', 'TCS.NS', 'SAIL.NS', 'SUN.NS', 'BHEL.NS', 'ITC.NS', 'HCLT.NS', 'STTE.NS', 'ABUJ.NS']","[0.0190528932103308, 0.1438906752411575, -0.07717074125115, 0.0958013010053224, -0.0172477064220183, 0.1146283677863162, -0.0247903341872178, -0.022304148599607, 0.0424836232298591, -0.012414492019255]"
2012-09-24,"['TAMO.NS', 'JNSP.NS', 'TCS.NS', 'ASPN.NS', 'SUN.NS', 'GRAS.NS', 'ITC.NS', 'HCLT.NS', 'STTE.NS', 'ABUJ.NS']","[-0.0286803521299787, 0.0005856172405716, -0.0062497211472481, -0.0030909875008261, 0.038909634055265, 0.022916720033863, 0.0412844164437997, 0.013336864218904, -0.0141065113767001, 0.0364289379168805]"
2012-10-01,"['TAMO.NS', 'HDBK.NS', 'TCS.NS', 'ASPN.NS', 'SUN.NS', 'GRAS.NS', 'ITC.NS', 'HCLT.NS', 'MRTI.NS', 'ABUJ.NS']","[0.0485890093962277, -0.0104928752730626, 0.0062504372954745, -0.0313993024611924, -0.0186902451297534, 0.0144526844894328, 0.0119310098334917, -0.006753817018137, 0.0211184694628403, 0.0707920792079208]"
2012-10-08,"['TAMO.NS', 'HDBK.NS', 'TCS.NS', 'ULTC.NS', 'SUN.NS', 'GRAS.NS', 'ITC.NS', 'HCLT.NS', 'MRTI.NS', 'ABUJ.NS']","[-0.0331491051887344, 0.014058473443685, -0.0042561482469015, 0.0337470613513991, 0.0449783898615487, 0.0077182945548373, 0.0284780776563928, 0.0141225722632374, -0.0112776536715428, -0.0067036523347203]"
2012-10-15,"['TAMO.NS', 'HDBK.NS', 'HLL.NS', 'ULTC.NS', 'SUN.NS', 'GRAS.NS', 'ITC.NS', 'JNSP.NS', 'MRTI.NS', 'ABUJ.NS']","[-0.008294928196846, -0.0041986305002539, -0.0146956351395658, -0.0166772631681909, -0.0258675078864354, 0.0071279229813354, 0.0493827801579573, -0.0297619047619047, -0.0020407419554681, -0.0379334419362346]"
2012-10-22,"['ASPN.NS', 'HCLT.NS', 'HLL.NS', 'ULTC.NS', 'SUN.NS', 'GRAS.NS', 'ITC.NS', 'JNSP.NS', 'MRTI.NS', 'ABUJ.NS']","[0.0099750107060689, 0.0069421649933203, -0.0253287127823753, 0.0166865612255049, -0.0143926309729418, -0.0004542189538985, -0.0391596611133238, -0.0525153374233128, -0.0025926602154463, 0.0072568940493469]"
2012-10-29,"['ASPN.NS', 'HCLT.NS', 'HLL.NS', 'ULTC.NS', 'TISC.NS', 'GRAS.NS', 'ITC.NS', 'JNSP.NS', 'MRTI.NS', 'ABUJ.NS']","[-0.0051357250807277, 0.0082074469476374, -0.0347700708603957, -0.0118875816353987, 0.0033666356731508, -0.0143372766859922, -0.0092706115116393, 0.0071225071225071, 0.0733689682946474, -0.0038424591738711]"
2012-11-05,"['ASPN.NS', 'HCLT.NS', 'HDBK.NS', 'ULTC.NS', 'TISC.NS', 'GRAS.NS', 'ITC.NS', 'JNSP.NS', 'MRTI.NS', 'ABUJ.NS']","[0.054056830621568, 0.0008140500432769, 0.011629753881215, 0.0015100131197862, -0.0293277418486471, 0.0, 0.0174788118562285, -0.0145300244310145, -0.0017054369329422, 0.0313404050144647]"
2012-11-12,"['ASPN.NS', 'HCLT.NS', 'HDBK.NS', 'ULTC.NS', 'BHEL.NS', 'GRAS.NS', 'ITC.NS', 'JNSP.NS', 'MRTI.NS', 'TAMO.NS']","[-0.0396786923381795, -0.011306350432092, 0.0045358268148543, -0.0536358692965543, -0.005398442695622, -0.0541822176844953, -0.046850651618198, -0.0315762004175363, -0.0172885062183956, -0.0500089314992055]"
2012-11-19,"['ASPN.NS', 'HCLT.NS', 'HDBK.NS', 'ULTC.NS', 'LUPN.NS', 'GRAS.NS', 'ITC.NS', 'JNSP.NS', 'MRTI.NS', 'TAMO.NS']","[0.0260816494114335, 0.0472234111326674, 0.0428183084535254, -0.0095852486418721, -0.035800344234079, 0.000487388052996, 0.0435099819269977, 0.0114524386957692, 0.0383839788609972, -0.0169811260305409]"
2012-11-26,"['ASPN.NS', 'HCLT.NS', 'HDBK.NS', 'ULTC.NS', 'AXBK.NS', 'GRAS.NS', 'ITC.NS', 'JNSP.NS', 'MRTI.NS', 'TAMO.NS']","[0.0681408612602869, 0.0315028547715303, 0.0510637945099778, 0.0239181456185229, 0.0458795148225232, 0.0563309756489864, 0.0415212590941458, 0.0737977887305181, -0.0130248443045604, 0.0497120844748792]"
2012-12-03,"['ASPN.NS', 'HCLT.NS', 'HDBK.NS', 'ULTC.NS', 'AXBK.NS', 'GRAS.NS', 'ITC.NS', 'JNSP.NS', 'MRTI.NS', 'ABUJ.NS']","[-0.0041104694921957, -0.0646610882723236, -0.0154130800968935, 0.0107139177912847, 0.0067050534131372, -0.0333740469016341, 0.0100502967346678, 0.016747301823595, 0.0244936730332123, -0.0016940948693126]"
2012-12-10,"['ASPN.NS', 'HCLT.NS', 'HDBK.NS', 'ULTC.NS', 'LART.NS', 'GRAS.NS', 'ITC.NS', 'JNSP.NS', 'MRTI.NS', 'LUPN.NS']","[-0.0073622899860033, 0.0274407656979345, -0.0062761238856001, 0.0155692589950056, -0.0232980809018442, -0.0328946063615441, -0.0184079671611625, 0.0522205954123962, -0.0216563462366303, 0.0055657085894667]"
2012-12-17,"['ASPN.NS', 'HCLT.NS', 'HDBK.NS', 'ULTC.NS', 'LART.NS', 'AXBK.NS', 'ITC.NS', 'JAIA.NS', 'MRTI.NS', 'TAMO.NS']","[0.0176135526790517, -0.0015057474323295, -0.0185117936275105, -0.0020825492409987, -0.029924078758839, -0.0220207253886009, -0.0300726285019254, -0.0454096742349456, 0.0187172110340159, 0.0221919253377531]"
2012-12-24,"['ASPN.NS', 'HCLT.NS', 'HDBK.NS', 'ULTC.NS', 'LART.NS', 'AXBK.NS', 'ITC.NS', 'JAIA.NS', 'MRTI.NS', 'TAMO.NS']","[0.0088380215674384, -0.0057941380267105, 0.0024408649625069, -0.0084732977974454, 0.0187724256574097, 0.0289877010406811, 0.00818668431883, 0.0015511892450879, -0.0029902319090969, 0.0355711030294225]"
